CustomerId,Customer,City,Facility,BusinessPartner,DeliveryAddress,KAM,Latitude,Longitude,Number of Outlets,Detected_Cuisines,Imported Avocado,Blueberry,Cherry Tomato,Parsley,Thai Asparagus,Indian Asparagus,Lemon Grass,Thai Basil,Italian Lemon,Thai Bird Chilli,Shiso Leaves,Rosemary,Total_SKU_Score,Swiggy_RID,Swiggy_Cuisines,Menu_Items_Count,Validation_Source
786413,MONKEY BAR,PTP_Bengaluru,PHD_FC_BLR,OLIVEBEACH,"ATLAS DISTRIBUTORS PRIVATE LIMITED, 23RD MAIN, NO 10, 2ND CROSS, JP NAGAR 2ND PHASE, MARENAHALLI BANGALORE, Bengaluru Urban, Karnataka, 560078",Sonu Varma,12.97512232,77.60288313,1,Fine_Dining,0.3,0.2,0.4,0.35,0.0,0.2,0.15,0.0,0.2,0.0,0.0,0.4,2.2,1233356,"American, European, Asian",0,Swiggy_ID_Only
786232,Brown Table Restaurant,PTP_Bengaluru,PHD_FC_BLR,LimitedLiabilityPartnership,"63IDEAS INFOLABS PRIVATE LIMITED (Ninjacart), 2nd Floor, Indiqube Helios Business Park, Tower E, Chandana, Kadubisanahalli, Bengaluru, Bengaluru Urban, Karnataka, 560103",Sonu Varma,13.01563730935449,77.5742809987609,1,Fine_Dining,0.3,0.2,0.4,0.35,0.0,0.2,0.15,0.0,0.2,0.0,0.0,0.4,2.2,,,0,Inference_Only
786385,Limited Edition - Social Dining,PTP_Chennai,PHD_FC_CHN,KPPARKSPORTSCLUB,"63IDEAS INFOLABS PRIVATE LIMITED (Ninjacart), 2nd Floor, Indiqube Helios Business Park, Tower E, Chandana, Kadubisanahalli, Bengaluru, Bengaluru Urban, Karnataka, 560103",Sriram Rengarajan,13.0071749334465,80.25368170972146,1,Fine_Dining,0.3,0.2,0.4,0.35,0.0,0.2,0.15,0.0,0.2,0.0,0.0,0.4,2.2,940205,"Continental, Italian",0,Swiggy_ID_Only
786270,Neemsi Restaurant,PTP_Bengaluru,PHD_FC_BLR,NeemsiRestaurant,"ATLAS DISTRIBUTORS PRIVATE LIMITED, 23RD MAIN, NO 10, 2ND CROSS, JP NAGAR 2ND PHASE, MARENAHALLI BANGALORE, Bengaluru Urban, Karnataka, 560078",Sonu Varma,12.90623067296292,77.5825587769356,1,Fine_Dining,0.3,0.2,0.4,0.35,0.0,0.2,0.15,0.0,0.2,0.0,0.0,0.4,2.2,1066605,"North Indian, Chaat, Chinese, South Indian, Fast Food, Snacks, sandwich, Burger, pizza, Pasta",0,Swiggy_ID_Only
786010,Pumpkin Tales Restaurant,PTP_Chennai,PHD_FC_CHN,PumpkinTalesRestaurant,"SRI SAI RAM FOODS,Building No./Flat No.: 21/1,KELLYS ROAD, KILPAUK , Chennai,Tamil Nadu,PIN Code: 600010, Contact:9025292329",Kaja syed Jiyavudeen Abdul Haleem,13.03398184071678,80.2551623213593,1,Fine_Dining,0.3,0.2,0.4,0.35,0.0,0.2,0.15,0.0,0.2,0.0,0.0,0.4,2.2,38154,"Asian, Italian, American",0,Swiggy_ID_Only
786527,Sante Spa Cuisine (KALMIA FOODS PVT LTD),PTP_Chennai,PHD_FC_CHN,KALMIAFOODSPVTLTD,"SRI SAI RAM FOODS,Building No./Flat No.: 21/1,KELLYS ROAD, KILPAUK , Chennai,Tamil Nadu,PIN Code: 600010, Contact:9025292329",Kaja syed Jiyavudeen Abdul Haleem,13.06104511037077,80.25198967903232,1,"Fine_Dining, Food_Generic",0.3,0.2,0.4,0.35,0.0,0.2,0.15,0.0,0.2,0.0,0.0,0.4,2.2,182610,"European, Asian, Italian",0,Swiggy_ID_Only
785890,FFL CUISINES PVT.LTD.,PTP_Chennai,PHD_FC_CHN,FFLCUISINESPVT.LTD.,"SRI SAI RAM FOODS,Building No./Flat No.: 21/1,KELLYS ROAD, KILPAUK , Chennai,Tamil Nadu,PIN Code: 600010, Contact:9025292329",Kaja syed Jiyavudeen Abdul Haleem,13.06242145012157,80.24552294232764,1,Fine_Dining,0.3,0.2,0.4,0.35,0.0,0.2,0.15,0.0,0.2,0.0,0.0,0.4,2.2,,,0,Inference_Only
771259,CALIFORNIA BURRITO WAREHOUSE,PTP_Hyderabad,PHD_FC_HYD,CB-PHD,"CALIFORNIA BURRITO, 2ND FLOOR, UNIT NO - S 06,09, INORBIT MALL, SURVEY NO-64, MADHAPUR VILLAGE, Rangareddy, Telangana, 500081,SITE: Central Warehouse",Rahul Vittalbabu,17.587273,78.5104579,1,"Mexican, Food_Generic",0.85,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.7,,,0,Inference_Only
785169,Daily Sushi Jayanagar,PTP_Bengaluru,PHD_FC_BLR,Dailysushi,"63IDEAS INFOLABS PRIVATE LIMITED (Ninjacart), 2nd Floor, Indiqube Helios Business Park, Tower E, Chandana, Kadubisanahalli, Bengaluru, Bengaluru Urban, Karnataka, 560103",Sonu Varma,12.92731191,77.5907129,1,"Japanese, Sushi_Specific",0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,1.2,474244,"Korean, Japanese, Pan-Asian",0,Swiggy_ID_Only
785655,Chika coffee Roasters LLP,PTP_Hyderabad,PHD_FC_HYD,ChikacoffeeRoastersLLP,"SURVEY No:92 PART MALAKUTA BAVI KOMPALLY QUTHBULLAPUR, Hyderabad, Telangana, India - 500014",Daggupati Aditya,17.43,78.44,1,Cafe_Bakery,0.35,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.2,,,0,Inference_Only
785707,Brewtique Speciality Coffee,PTP_Hyderabad,PHD_FC_HYD,THUNDERBOLTFOODSPRIVATELIMITED,"SRI COMPANY, GROUND FLOOR, 15-7-378, MAIN ROAD, BEGUM BAZAR, Hyderabad, Telangana, 500012",Ashok kumar peddireddi,17.43,78.41,1,Cafe_Bakery,0.35,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.2,,,0,Inference_Only
785730,Urban Nemo Cafe & Garden,PTP_Hyderabad,PHD_FC_HYD,URBANNEMO,"63IDEAS INFOLABS PRIVATE LIMITED (Ninjacart), 2nd Floor, Indiqube Helios Business Park, Tower E, Chandana, Kadubisanahalli, Bengaluru, Bengaluru Urban, Karnataka, 560103",Daggupati Aditya,17.43,78.42,1,Cafe_Bakery,0.35,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.2,,,0,Inference_Only
785616,CHIN LUNG BREWERY INDIRANAGAR,PTP_Bengaluru,PHD_FC_BLR,LeisureEntertainmentPartnershipEnterprise,"63IDEAS INFOLABS PRIVATE LIMITED (Ninjacart), 2nd Floor, Indiqube Helios Business Park, Tower E, Chandana, Kadubisanahalli, Bengaluru, Bengaluru Urban, Karnataka, 560103",Srihari M,12.96925786519098,77.64154448465682,1,Cafe_Bakery,0.35,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.2,,,0,Inference_Only
785744,Kana By Coffee mechanics,PTP_Bengaluru,PHD_FC_BLR,KanaByCoffeemechanics,"63IDEAS INFOLABS PRIVATE LIMITED (Ninjacart), 2nd Floor, Indiqube Helios Business Park, Tower E, Chandana, Kadubisanahalli, Bengaluru, Bengaluru Urban, Karnataka, 560103",Tanmoy Das,13.03429758417497,77.63850881719374,1,Cafe_Bakery,0.35,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.2,743856,"Continental, Pizzas, Burgers",0,Swiggy_ID_Only
785783,Brewtiful,PTP_Hyderabad,PHD_FC_HYD,BREWTIFULCOFFEELLP,"Plot No. 564 A-39, Road No. 92, MLA Colony, Jubilee Hills, Hyderabad, Telangana 500034",Daggupati Aditya,17.41471096536133,78.42193298118771,1,Cafe_Bakery,0.35,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.2,964449,"Desserts, Beverages, Cafe",0,Swiggy_ID_Only
785711,Grano - Coffee Affairs,PTP_Hyderabad,PHD_FC_HYD,Grano-CoffeeAffairs,"63IDEAS INFOLABS PRIVATE LIMITED (Ninjacart), 2nd Floor, Indiqube Helios Business Park, Tower E, Chandana, Kadubisanahalli, Bengaluru, Bengaluru Urban, Karnataka, 560103",Daggupati Aditya,17.43,78.41,1,Cafe_Bakery,0.35,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.2,1057629,"Beverages, Cafe",0,Swiggy_ID_Only
786684,Cafe Eclat,PTP_Hyderabad,PHD_FC_HYD,PURPLECOWFOODSPRIVATELIMITED,"63IDEAS INFOLABS PRIVATE LIMITED (Ninjacart), 2nd Floor, Indiqube Helios Business Park, Tower E, Chandana, Kadubisanahalli, Bengaluru, Bengaluru Urban, Karnataka, 560103",Ashok kumar peddireddi,12.9394,77.6952,1,Cafe_Bakery,0.35,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.2,1015499,South Indian,0,Swiggy_ID_Only
785383,Northstar Cafe HSR,PTP_Bengaluru,PHD_FC_BLR,NorthstarCafeHSR,"BONVIVANT GOURMET, 1st Floor, No 163, 9th Main, 3rd Cross, RMV extn, Sadashiva Nagar, Bengaluru, Karnataka 560080",Tanmoy Das,12.91206710715975,77.63904531719373,1,Cafe_Bakery,0.35,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.2,,,0,Inference_Only
785385,Drip and Drop Coffee,PTP_Bengaluru,PHD_FC_BLR,GAEnterprises,"63IDEAS INFOLABS PRIVATE LIMITED (Ninjacart), 2nd Floor, Indiqube Helios Business Park, Tower E, Chandana, Kadubisanahalli, Bengaluru, Bengaluru Urban, Karnataka, 560103",Srihari M,12.90645133212414,77.59059275599937,1,Cafe_Bakery,0.35,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.2,785224,"Beverages, Bakery",0,Swiggy_ID_Only
785387,Brewtroots cafe,PTP_Bengaluru,PHD_FC_BLR,Brewtrootscafe,"BONVIVANT GOURMET, 1st Floor, No 163, 9th Main, 3rd Cross, RMV extn, Sadashiva Nagar, Bengaluru, Karnataka 560080",Tanmoy Das,12.91221782896842,77.63932042531316,1,Cafe_Bakery,0.35,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.2,966996,"South Indian, North Indian, Thalis, Chaat",0,Swiggy_ID_Only
785407,Daily Sushi( Bellandur),PTP_Bengaluru,PHD_FC_BLR,Buzafoodsprivatelimited,"BONVIVANT GOURMET, 1st Floor, No 163, 9th Main, 3rd Cross, RMV extn, Sadashiva Nagar, Bengaluru, Karnataka 560080",Tanmoy Das,12.92150587,77.68709477,1,"Japanese, Sushi_Specific",0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,1.2,745604,"Japanese, Asian, Korean",0,Swiggy_ID_Only
785839,KATHA,PTP_Hyderabad,PHD_FC_HYD,KATHACOFFEEPRIVATELIMITED,"Flat no 002 ground floor, Asian Suncity ,B block, forest Dept colony , Hyderabad, Telangana 500084.",Daggupati Aditya,17.43,78.45,1,Cafe_Bakery,0.35,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.2,,,0,Inference_Only
786711,Roastery Coffee House,PTP_Hyderabad,PHD_FC_HYD,NAICOFFEEPRAVATELIMITED,"SS AGRO PRODUCTS, G2, PLOT NO.3, SY NO.198/123, OFFICERS COLONY, RK PURAM, NEREDMET, Medchal - Malkajgiri, Telangana, 500056",Ashok kumar peddireddi,12.9394,77.6952,1,Cafe_Bakery,0.35,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.2,,,0,Inference_Only
785644,THE BREWS BROTHER (BASK BY COFFEE),PTP_Chennai,PHD_FC_CHN,THEBREWSBROTHER(BASKBYCOFFEE),"SRI SAI RAM FOODS,Building No./Flat No.: 21/1,KELLYS ROAD, KILPAUK , Chennai,Tamil Nadu,PIN Code: 600010, Contact:9025292329",,13.04274159042056,80.25630835768027,1,Cafe_Bakery,0.35,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.2,789332,"Beverages, Italian, Snacks, Thai",0,Swiggy_ID_Only
785645,THEBREWSBROTHER(BASKBYCOFFEE),PTP_Chennai,PHD_FC_CHN,THEBREWSBROTHER(BASKBYCOFFEE),"SRI SAI RAM FOODS,Building No./Flat No.: 21/1,KELLYS ROAD, KILPAUK , Chennai,Tamil Nadu,PIN Code: 600010, Contact:9025292329",,12.95804276,80.25672023,1,Cafe_Bakery,0.35,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.2,,,0,Inference_Only
785447,Coffee Mechanics,PTP_Bengaluru,PHD_FC_BLR,SQUADRUPEFOODANDBEVERAGESPRIVATELIMITED,"63IDEAS INFOLABS PRIVATE LIMITED (Ninjacart), 2nd Floor, Indiqube Helios Business Park, Tower E, Chandana, Kadubisanahalli, Bengaluru, Bengaluru Urban, Karnataka, 560103",Tanmoy Das,13.03431827447775,77.63846411534318,1,Cafe_Bakery,0.35,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.2,38630,"American, Bakery, British, Beverages, Continental, Desserts, European, Healthy Food, Italian, Pastas",0,Swiggy_ID_Only
785606,Roka cafe,PTP_Bengaluru,PHD_FC_BLR,Rokacafe,"BONVIVANT GOURMET, 1st Floor, No 163, 9th Main, 3rd Cross, RMV extn, Sadashiva Nagar, Bengaluru, Karnataka 560080",Sonu Varma,13.03029677278397,77.57089973068635,1,Cafe_Bakery,0.35,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.2,1222325,"Italian-American, Cafe",0,Swiggy_ID_Only
785152,Daily sushi ITPL,PTP_Bengaluru,PHD_FC_BLR,Dailysushi,"63IDEAS INFOLABS PRIVATE LIMITED (Ninjacart), 2nd Floor, Indiqube Helios Business Park, Tower E, Chandana, Kadubisanahalli, Bengaluru, Bengaluru Urban, Karnataka, 560103",Sonu Varma,12.9883480967869,77.73040406693418,1,"Japanese, Sushi_Specific",0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,1.2,676097,"Japanese, Asian, Korean",0,Swiggy_ID_Only
784544,Brahma Brews,PTP_Bengaluru,PHD_FC_BLR,NDVentures,"ATLAS DISTRIBUTORS PRIVATE LIMITED, 23RD MAIN, NO 10, 2ND CROSS, JP NAGAR 2ND PHASE, MARENAHALLI BANGALORE, Bengaluru Urban, Karnataka, 560078",Srihari M,12.89347104569327,77.5865788848351,1,Cafe_Bakery,0.35,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.2,323034,"Indian, Mughlai, Biryani, Coastal, Tandoor",0,Swiggy_ID_Only
786306,THE CRAFTERY BY SUBKO,PTP_Bengaluru,PHD_FC_BLR,SUBKOCOFFEEPRIVATELIMITED,"GLOBAL GOURMETZ, No. 65/1, Mission Road, Bengaluru, Bengaluru Rural, Karnataka – 560027",Srihari M,12.92606315387586,77.6255469288359,1,Cafe_Bakery,0.35,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.2,1167509,"Coffee, Beverages, Cafe, Snacks, Bakery, Desserts",0,Swiggy_ID_Only
785947,Ra:tio,PTP_Hyderabad,PHD_FC_HYD,KENSHOCOFFEELLP,"SRI COMPANY, GROUND FLOOR, 15-7-378, MAIN ROAD, BEGUM BAZAR, Hyderabad, Telangana, 500012",Ashok kumar peddireddi,17.43,78.41,1,Cafe_Bakery,0.35,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.2,,,0,Inference_Only
785406,Daily Sushi( HSR),PTP_Bengaluru,PHD_FC_BLR,Buzafoodsprivatelimited,"BONVIVANT GOURMET, 1st Floor, No 163, 9th Main, 3rd Cross, RMV extn, Sadashiva Nagar, Bengaluru, Karnataka 560080",Tanmoy Das,12.91014214,77.63841766,1,"Japanese, Sushi_Specific",0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,1.2,254655,"Japanese, Asian, Korean",0,Swiggy_ID_Only
785408,Daily Sushi( Whitefield),PTP_Bengaluru,PHD_FC_BLR,Buzafoodsprivatelimited,"BONVIVANT GOURMET, 1st Floor, No 163, 9th Main, 3rd Cross, RMV extn, Sadashiva Nagar, Bengaluru, Karnataka 560080",Tanmoy Das,12.96458613,77.73340601,1,"Japanese, Sushi_Specific",0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,1.2,86516,"Japanese, Asian, Korean",0,Swiggy_ID_Only
