Sl_No,Restaurant Name,Swiggy RID,Credit Limit,Number of Outlets in City,Detected_Cuisines,Imported Avocado,Blueberry,Cherry Tomato,Parsley,Thai Asparagus,Indian Asparagus,Lemon Grass,Thai Basil,Italian Lemon,Thai Bird Chilli,Shiso Leaves,Rosemary,Total_SKU_Score
4473,Sri Devi Grand,539213,12500,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4490,Hello Hotel,853357,12500,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4472,THE TAJ HOTEL,727350,12500,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1143,Sri Krishna Grand,372520,"1,30,344",2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
2544,Shiv Sai hotel,118459,25000,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3705,Hotel Halli Saviruchi,614165,12500,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3063,Udupi Grand,1071397,20675,4,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3067,New Karavali Hotel,129051,20600,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1157,Namma Prashanth Hotel,63399,"1,28,262",1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3715,Donne Biriyani Grand,1093134,10000,2,"North_Indian, Hotel_Star",0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
2567,Donne Biriyani Naty Style Hotel,435207,25000,1,"North_Indian, Hotel_Star",0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3435,KARNATAKA HINDU MILITARY HOTEL,124267,14040,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
2568,Hotel Kavin,216941,25000,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
2572,Hotel Fishland,1121920,25000,1,"Seafood, Hotel_Star",0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
2626,Gama Gama Hotel,380756,25000,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
2618,Park Inn,204707,25000,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3027,Hotel Amrapali,122218,21565,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3028,New Vishnu Grand,683398,21540,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
401,Sri Vishnu Grand,116924,"3,60,193",2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3030,Rajanna Military Hotel,163586,21493,6,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
2608,Nidhi grand family restaurant,471630,25000,1,"Fine_Dining, Hotel_Star",0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
2606,Udupi Grand Veg,198562,25000,3,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4514,Malgudi Mudde Mane Hotel,1074751,12500,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3033,Sri Krishna Vaibhav Grand Veg,899492,21436,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1070,Gongura Grand,310,"1,42,347",1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
391,Anagha Grand Veg,396895,"3,68,962",1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
2598,Hotel Ayodhya Bela,1018659,25000,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1079,Hotel Ngt Nonveg,873352,"1,40,340",1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3039,New Modern Hotel,501190,21284,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
2594,Iyengar Cake Palace,452491,25000,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
2581,Hotel Aditya,655668,25000,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1098,Hotel Tom's Restaurant,10212,"1,36,841",1,"Fine_Dining, Hotel_Star",0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3436,Hotel Udupi Sagar,233018,14023,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1173,Hotel Kandhasamy,306987,"1,25,263",1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
379,Ranganna Military Hotel,70490,"3,81,471",1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1099,New Prashanth Hotel,654154,"1,36,760",4,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
2579,Westin Food and Resturant,1121040,25000,2,"Hotel_Star, Food_Generic",0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4457,Sri Krishna Vaibhav Grand Veg,899492,12500,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
2498,Ron Inn Restaurant,207436,25000,1,"Fine_Dining, Hotel_Star",0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1178,Dwaraka Grand,28009,"1,24,629",1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1402,Hotel Ngt Non Veg,604653,91823,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
